iter	RMSE
0	0.9565668564
1	0.919901913
2	0.8923349901
3	0.8661473798
4	0.8461763686
5	0.8292251855
6	0.8117995053
7	0.799630897
8	0.7893651168
9	0.7798826501
10	0.7709182032
11	0.7635299303
12	0.7546180627
13	0.7490487029
14	0.744415363
15	0.7366858288
16	0.7302932355
17	0.7258072051
18	0.7218691738
19	0.7175353943
20	0.7142756602
21	0.7114474518
22	0.7095796662
23	0.7062045652
24	0.7048089867
25	0.702191937
26	0.700670096
27	0.698550821
28	0.6973111239
29	0.6954623326
30	0.6938212714
31	0.692434818
32	0.6905833753
33	0.6894587446
34	0.6876642278
35	0.6867657138
36	0.6856957127
37	0.6845086534
38	0.6836184789
39	0.6828883478
40	0.6812023999
41	0.6804702898
42	0.6795135579
43	0.6789842593
44	0.6785688533
45	0.6778634215
46	0.6770648497
47	0.6763608361
48	0.6756653389
49	0.6751490224
50	0.6745799629
51	0.6739448701
52	0.672799321
53	0.6719995673
54	0.6713107419
55	0.6708890896
56	0.670247394
57	0.6690455859
58	0.6688232524
59	0.6684193786
60	0.6681156029
61	0.6676891926
62	0.6675420774
63	0.66710296
64	0.666913419
65	0.6665588002
66	0.6662615651
67	0.6656913201
68	0.6655343335
69	0.6653551118
70	0.6652412488
71	0.6648499798
72	0.664147238
73	0.6639454835
74	0.6635032676
75	0.6631409973
76	0.6626407557
77	0.6623649206
78	0.6620294806
79	0.6616851332
80	0.6614276524
81	0.6611880732
82	0.6607800172
83	0.6605975263
84	0.6603901266
85	0.6597619702
86	0.6594615363
87	0.6589914236
88	0.6581460801
89	0.65804337
90	0.6578699684
91	0.6573584649
92	0.6572614973
93	0.657021136
94	0.6565078453
95	0.6562831497
96	0.6559361099
97	0.6558544233
98	0.655703959
99	0.6555739904
100	0.6551814557
101	0.655047531
102	0.6545968209
103	0.654371299
104	0.6538741795
105	0.6538018469
106	0.6536945191
107	0.6533564177
108	0.6531954814
109	0.6527854524
110	0.6525456917
111	0.6524772822
112	0.652236082
113	0.6521685288
114	0.6520390619
115	0.6517346733
116	0.6515725867
117	0.6514221832
118	0.6512709866
119	0.6508941072
120	0.6506684309
121	0.6505272905
122	0.6504218208
123	0.6502295132
124	0.6498385533
125	0.6497183558
126	0.649399546
127	0.6491790275
128	0.6489756284
129	0.6485796171
130	0.6484397842
131	0.6482919826
132	0.6481093949
133	0.6479161397
134	0.6476996749
135	0.6475808371
136	0.6473897418
137	0.6472086459
138	0.6470901007
139	0.6468825553
140	0.6467708542
141	0.6465876072
142	0.6464333553
143	0.6463348925
144	0.6461664584
145	0.6459001479
146	0.6457492708
147	0.6455656098
148	0.645331026
149	0.6452581794
150	0.6451001196
151	0.6450347397
152	0.6449794293
153	0.6447471732
154	0.6446582881
155	0.64454202
156	0.6444158014
157	0.6443263107
158	0.6442572756
159	0.644003925
160	0.6439156342
161	0.6435825558
162	0.6434310457
163	0.6433836895
164	0.6432964303
165	0.6431543147
166	0.6430167592
167	0.6429880681
168	0.6429081769
169	0.6428192248
170	0.642765061
171	0.6426926278
172	0.6425043383
173	0.6423667328
174	0.6422810252
175	0.6421198785
176	0.6420363585
177	0.6419411972
178	0.641872311
179	0.6418097384
180	0.6417780996
181	0.6417218404
182	0.6415994492
183	0.6414877962
184	0.6414384083
185	0.6413799008
186	0.6412809383
187	0.6412635484
188	0.6411825467
189	0.641160148
190	0.6411167722
191	0.6410666171
192	0.6410400499
193	0.6409735226
194	0.6409278424
195	0.6408773951
196	0.64075883
197	0.6406861483
198	0.640608135
199	0.6403855202
200	0.6403436554
201	0.6403166576
202	0.6402011358
203	0.6401283783
204	0.6399391128
205	0.6398236241
206	0.6395237673
207	0.6394900233
208	0.6394452456
209	0.6394000425
210	0.6393842868
211	0.6393145743
212	0.6390262646
213	0.6389089769
214	0.6388174553
215	0.6386802126
216	0.6385294082
217	0.6384748192
218	0.6384121763
219	0.6383721786
220	0.638319792
221	0.6382633148
222	0.6381366348
223	0.6380860986
224	0.6380258552
225	0.6379263231
226	0.637885243
227	0.6378319414
228	0.6377488016
229	0.6376624843
230	0.6375588801
231	0.6374923381
232	0.6374453039
233	0.6374032565
234	0.637389911
235	0.6373669833
236	0.6372729815
237	0.6371790252
238	0.637135886
239	0.6371058203
240	0.6370654243
241	0.6369310874
242	0.6368526225
243	0.6368043116
244	0.636784437
245	0.6367547479
246	0.6366578366
247	0.6366513531
248	0.6364747632
249	0.6364312018
250	0.6363428541
251	0.6362593319
252	0.6362208086
253	0.6361417512
254	0.6361087412
255	0.635828191
256	0.6356414261
257	0.6355814774
258	0.6353924782
259	0.6353221086
260	0.6352902494
261	0.6352476194
262	0.6351494683
263	0.6350913602
264	0.6350758142
265	0.6350223631
266	0.6350071225
267	0.6349925889
268	0.6349282866
269	0.6347963129
270	0.6347591034
271	0.6347189242
272	0.6346793562
273	0.6346320604
274	0.6345964215
275	0.6345446118
276	0.6344973427
277	0.6344529505
278	0.6344391158
279	0.6343975064
280	0.6343741438
281	0.6343291134
282	0.6343093959
283	0.6342634936
284	0.6342454151
285	0.634062103
286	0.6340331982
287	0.6340078835
288	0.6339474775
289	0.6339205089
290	0.6338689508
291	0.6338393384
292	0.6338002593
293	0.6337900741
294	0.633670135
295	0.6335846217
296	0.6335512526
297	0.6335100106
298	0.633462352
299	0.6333996673
300	0.6332049425
301	0.6331438877
302	0.6330720064
303	0.6329223007
304	0.6328079042
305	0.6326603214
306	0.632537141
307	0.6323141737
308	0.6322290423
309	0.6321401023
310	0.6321015846
311	0.632031473
312	0.6320037952
313	0.6319758673
314	0.631833879
315	0.6316931042
316	0.6316772848
317	0.6316001352
318	0.6315312747
319	0.6314314561
320	0.631343576
321	0.6312902636
322	0.6312316046
323	0.6312111578
324	0.6311601437
325	0.6311116526
326	0.6310388816
327	0.6309715303
328	0.6309532038
329	0.6309049462
330	0.6308645263
331	0.6307556775
332	0.630730954
333	0.6306681193
334	0.6306554325
335	0.6306457476
336	0.6306142741
337	0.630600732
338	0.630568266
339	0.6305173902
340	0.6304610536
341	0.6303918097
342	0.630314977
343	0.6302947443
344	0.6302622302
345	0.6302514992
346	0.6301938861
347	0.6301503776
348	0.6301268274
349	0.6300990122
350	0.6300822737
351	0.6299952487
352	0.6299708722
353	0.6299564744
354	0.6299487274
355	0.6299278752
356	0.629910257
357	0.6298660904
358	0.6298477743
359	0.6297978319
360	0.6297844822
361	0.6297358524
362	0.6297035415
363	0.6296890799
364	0.6295990483
365	0.6295336802
366	0.6294557283
367	0.629384449
368	0.6293316271
369	0.6292814278
370	0.6292535771
371	0.6292339712
372	0.6292176197
373	0.6291019859
374	0.6289742323
375	0.6288659528
376	0.6288497644
377	0.6287527741
378	0.6286711834
379	0.6286341454
380	0.6286241855
381	0.6285907758
382	0.6284745763
383	0.6284376096
384	0.6283877708
385	0.6283530764
386	0.628278113
387	0.6281774016
388	0.6281015196
389	0.6280857022
390	0.6279786564
391	0.6278999887
392	0.6278510243
393	0.6278245796
394	0.627792193
395	0.6277609898
396	0.627675389
397	0.6276357355
398	0.627632766
399	0.6275475612
400	0.6275219675
401	0.6274599436
